ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
126.00	421.00	31.00	0.00	475.00	25460.00	0.60	1.25	1.90	572.00	25460.00	53.60	25.00	84.00	17.24	297.38	4.99	0.00	53.60	0.00	0.00	0.00	0.70	475.00	4.20	0.03	0.00	8.84	0.22	28.30	-7515.88	1930084.38	
127.00	997.00	711.00	0.00	474.00	41660.00	0.55	1.20	2.71	783.00	41660.00	87.89	24.00	154.00	38.32	1468.24	10.06	0.00	87.89	0.00	0.00	0.00	0.69	474.00	4.19	0.07	0.00	9.53	0.06	240.57	-59294.26	51217884.00	
128.00	207.00	737.00	0.00	474.00	23085.00	0.28	1.04	1.95	576.00	23085.00	48.70	25.00	88.00	17.90	320.53	5.79	0.00	48.70	0.00	0.00	0.00	0.67	474.00	4.19	0.00	0.00	9.08	0.17	39.97	17724.79	2839214.00	
129.00	905.00	359.00	0.00	473.00	28229.00	0.70	1.40	2.31	600.00	28229.00	59.68	22.00	117.00	27.68	766.09	8.80	0.00	59.68	0.00	0.00	0.00	0.71	473.00	4.18	0.01	0.00	9.40	0.08	130.99	58484.76	14598615.00	
130.00	1370.00	89.00	0.00	472.00	31286.00	0.70	1.41	2.35	625.00	31286.00	66.28	23.00	136.00	32.53	1058.51	10.58	0.00	66.28	0.00	0.00	0.00	0.71	472.00	4.17	0.01	0.00	9.51	0.07	195.63	74557.98	26246836.00	
131.00	449.00	298.00	0.00	472.00	24558.00	0.84	1.85	1.27	682.00	24558.00	52.03	25.00	87.00	18.60	345.94	6.43	0.00	52.03	0.00	0.00	0.00	0.77	472.00	4.17	0.02	0.00	8.98	0.15	30.41	6977.10	2852690.00	
132.00	752.00	365.00	0.00	470.00	30654.00	0.70	1.40	2.36	600.00	30654.00	65.22	25.00	127.00	27.70	767.20	8.79	0.00	65.22	0.00	0.00	0.00	0.73	470.00	4.16	0.02	0.00	9.38	0.07	132.76	27532.25	14328983.00	
133.00	1220.00	384.00	0.00	469.00	31366.00	0.77	1.57	2.07	616.00	31366.00	66.88	25.00	118.00	28.63	819.83	10.17	0.00	66.88	0.00	0.00	0.00	0.73	469.00	4.15	0.00	0.00	9.35	0.07	172.44	9018.43	13354743.00	
134.00	257.00	103.00	0.00	468.00	26628.00	0.71	1.42	1.45	620.00	26628.00	56.90	24.00	100.00	18.39	338.08	5.71	0.00	56.90	0.00	0.00	0.00	0.74	468.00	4.14	0.05	0.00	8.98	0.17	37.41	3657.79	3819297.50	
135.00	858.00	300.00	0.00	467.00	32931.00	0.64	1.30	2.35	552.00	32931.00	70.52	22.00	155.00	36.22	1312.04	11.27	0.00	70.52	0.00	0.00	0.00	0.73	467.00	4.13	0.02	0.00	9.53	0.06	233.83	182411.58	52479560.00	
136.00	1142.00	481.00	0.00	466.00	32124.00	0.66	1.34	2.15	648.00	32124.00	68.94	25.00	131.00	32.61	1063.71	10.60	0.00	68.94	0.00	0.00	0.00	0.69	466.00	4.12	0.02	0.00	9.40	0.06	180.51	58815.18	25415250.00	
137.00	464.00	736.00	0.00	466.00	30003.00	0.69	1.38	2.31	576.00	30003.00	64.38	25.00	114.00	26.94	725.54	9.26	0.00	64.38	0.00	0.00	0.00	0.71	466.00	4.12	0.00	0.00	9.39	0.08	135.81	15051.35	11054028.00	
138.00	1330.00	256.00	0.00	465.00	30378.00	0.72	1.43	2.24	600.00	30378.00	65.33	24.00	113.00	26.53	703.83	8.56	0.00	65.33	0.00	0.00	0.00	0.75	465.00	4.11	0.02	0.00	9.36	0.07	124.67	-4803.81	10265605.00	
139.00	528.00	839.00	0.00	464.00	26609.00	0.52	1.17	3.14	780.00	26609.00	57.35	25.00	105.00	21.69	470.46	6.48	0.00	57.35	0.00	0.00	0.00	0.66	464.00	4.10	0.05	0.00	9.19	0.07	76.72	13166.82	5622922.00	
140.00	1105.00	64.00	0.00	463.00	32819.00	0.67	1.35	2.29	600.00	32819.00	70.88	22.00	142.00	34.52	1191.75	11.44	0.00	70.88	0.00	0.00	0.00	0.70	463.00	4.09	0.00	0.00	9.51	0.07	206.27	74681.81	33649492.00	
141.00	336.00	632.00	0.00	463.00	34174.00	0.63	1.29	2.21	575.00	34174.00	73.81	25.00	138.00	34.75	1207.27	11.65	0.00	73.81	0.00	0.00	0.00	0.69	463.00	4.09	0.00	0.00	9.46	0.08	200.74	49016.54	32607202.00	
142.00	271.00	52.00	0.00	461.00	21388.00	0.74	1.50	0.64	783.00	21388.00	46.39	25.00	77.00	13.63	185.83	4.65	0.00	46.39	0.00	0.00	0.00	0.74	461.00	4.08	0.02	0.00	8.50	0.28	10.26	974.82	900129.44	
143.00	1234.00	334.00	0.00	461.00	34605.00	0.56	1.21	2.14	552.00	34605.00	75.07	24.00	141.00	34.01	1156.46	11.09	0.00	75.07	0.00	0.00	0.00	0.69	461.00	4.08	0.02	0.00	9.51	0.08	188.83	24969.86	31242426.00	
144.00	1025.00	624.00	0.00	461.00	23738.00	0.89	2.17	2.02	704.00	23738.00	51.49	22.00	86.00	17.57	308.63	7.36	0.00	51.49	0.00	0.00	0.00	0.83	461.00	4.08	0.01	0.00	9.20	0.11	115.98	2188.48	1835647.12	
145.00	655.00	506.00	0.00	459.00	36981.00	0.59	1.24	2.90	700.00	36981.00	80.57	25.00	141.00	36.71	1347.92	11.42	0.00	80.57	0.00	0.00	0.00	0.67	459.00	4.06	0.04	0.00	9.43	0.07	252.92	5844.09	38344592.00	
146.00	377.00	657.00	0.00	458.00	32471.00	0.43	1.11	2.34	650.00	32471.00	70.90	24.00	115.00	29.00	841.09	9.43	0.00	70.90	0.00	0.00	0.00	0.67	458.00	4.05	0.02	0.00	9.34	0.09	181.00	-40413.02	12919570.00	
147.00	239.00	101.00	0.00	457.00	20791.00	0.55	1.20	1.70	546.00	20791.00	45.49	25.00	74.00	12.48	155.66	3.93	0.00	45.49	0.00	0.00	0.00	0.71	457.00	4.04	0.03	0.00	8.69	0.19	21.19	1783.73	600667.06	
148.00	999.00	310.00	0.00	456.00	29635.00	0.70	1.40	1.90	594.00	29635.00	64.99	25.00	107.00	25.27	638.40	8.00	0.00	64.99	0.00	0.00	0.00	0.70	456.00	4.03	0.02	0.00	9.31	0.07	117.67	-14411.79	8217864.50	
149.00	232.00	806.00	0.00	454.00	33687.00	0.66	1.33	2.34	576.00	33687.00	74.20	25.00	133.00	35.23	1241.23	12.06	0.00	74.20	0.00	0.00	0.00	0.70	454.00	4.01	0.00	0.00	9.37	0.06	235.36	27217.01	30851664.00	
150.00	795.00	94.00	0.00	450.00	27872.00	0.64	1.30	2.34	650.00	27872.00	61.94	25.00	109.00	26.07	679.40	8.42	0.00	61.94	0.00	0.00	0.00	0.68	450.00	3.98	0.02	0.00	9.26	0.08	151.19	-629.14	9531441.00	
151.00	711.00	340.00	0.00	449.00	31187.00	0.77	1.57	0.15	570.00	31187.00	69.46	25.00	125.00	31.51	993.03	8.67	0.00	69.46	0.00	0.00	0.00	0.71	449.00	3.97	0.03	0.00	9.30	0.15	51.99	51856.79	23623952.00	
152.00	1013.00	144.00	0.00	448.00	37347.00	0.62	1.27	2.87	621.00	37347.00	83.36	25.00	191.00	48.43	2345.02	14.81	0.00	83.36	0.00	0.00	0.00	0.69	448.00	3.96	0.02	0.00	9.49	0.04	363.73	454371.38	167247840.00	
153.00	706.00	323.00	0.00	448.00	32351.00	0.66	1.33	2.79	525.00	32351.00	72.21	25.00	122.00	31.07	965.46	8.71	0.00	72.21	0.00	0.00	0.00	0.70	448.00	3.96	0.03	0.00	9.23	0.08	101.54	-8708.02	18942948.00	
154.00	424.00	442.00	0.00	448.00	26118.00	0.68	1.36	1.79	520.00	26118.00	58.30	23.00	105.00	23.52	553.39	7.81	0.00	58.30	0.00	0.00	0.00	0.70	448.00	3.96	0.02	0.00	9.24	0.08	84.37	23662.12	7427519.50	
