ID	centroid_x	centroid_y	centroid_z	volume	integrated_intensity	eccentricity	elongation	orientation	bounding_box_volume	sum	mean	minimum	maximum	sigma	variance	surface_gradient	interior_gradient	surface_intensity	interior_intensity	intensity_ratio	convexity	radius_variation	surface_area	shape	shared_boundary	t_energy	t_entropy	inverse_diff_moment	inertia	cluster_shade	cluster_prominence	
300.00	517.00	303.00	0.00	223.00	6834.00	0.62	1.28	1.75	252.00	6834.00	30.65	24.00	41.00	3.84	14.78	1.92	0.00	30.65	0.00	0.00	0.00	0.60	223.00	1.97	0.06	0.02	6.34	0.42	6.21	297.08	6961.36	
301.00	473.00	188.00	0.00	220.00	6669.00	0.82	1.77	1.80	273.00	6669.00	30.31	23.00	38.00	3.99	15.92	1.41	0.00	30.31	0.00	0.00	0.00	0.64	220.00	1.95	0.12	0.02	6.23	0.49	3.05	83.58	6524.27	
302.00	556.00	102.00	0.00	216.00	13515.00	0.75	1.52	0.32	315.00	13515.00	62.57	23.00	108.00	25.86	668.85	8.88	0.00	62.57	0.00	0.00	0.00	0.61	216.00	1.91	0.06	0.00	8.35	0.09	122.37	7868.19	8574978.00	
303.00	932.00	660.00	0.00	216.00	13311.00	0.70	1.40	0.67	399.00	13311.00	61.62	25.00	104.00	23.59	556.50	8.58	0.00	61.62	0.00	0.00	0.00	0.59	216.00	1.91	0.08	0.00	8.41	0.04	156.93	-1557.45	5856817.50	
304.00	515.00	851.00	0.00	215.00	10886.00	0.87	2.03	0.03	300.00	10886.00	50.63	22.00	83.00	16.21	262.64	5.21	0.00	50.63	0.00	0.00	0.00	0.64	215.00	1.90	0.05	0.00	8.19	0.12	53.95	1452.92	1549114.88	
305.00	699.00	244.00	0.00	212.00	7532.00	0.58	1.23	2.89	238.00	7532.00	35.53	23.00	49.00	6.77	45.80	3.18	0.00	35.53	0.00	0.00	0.00	0.59	212.00	1.87	0.03	0.01	7.47	0.23	13.92	-50.08	42175.77	
306.00	1288.00	682.00	0.00	211.00	7079.00	0.59	1.24	1.86	238.00	7079.00	33.55	24.00	45.00	5.44	29.60	2.68	0.00	33.55	0.00	0.00	0.00	0.56	211.00	1.87	0.03	0.01	7.23	0.24	12.23	-20.03	17711.62	
307.00	49.00	833.00	0.00	211.00	9645.00	0.88	2.12	3.01	312.00	9645.00	45.71	25.00	63.00	11.77	138.56	4.35	0.00	45.71	0.00	0.00	0.00	0.62	211.00	1.87	0.07	0.01	7.74	0.23	27.71	-3090.91	368236.09	
308.00	1288.00	349.00	0.00	209.00	10378.00	0.52	1.17	2.15	288.00	10378.00	49.66	21.00	71.00	14.11	199.14	6.28	0.00	49.66	0.00	0.00	0.00	0.58	209.00	1.85	0.04	0.00	8.02	0.16	80.09	-5237.56	639325.31	
309.00	35.00	229.00	0.00	206.00	5859.00	0.59	1.24	1.68	280.00	5859.00	28.44	24.00	35.00	2.62	6.85	1.41	0.00	28.44	0.00	0.00	0.00	0.58	206.00	1.82	0.05	0.02	5.89	0.46	4.06	59.67	1249.95	
310.00	782.00	200.00	0.00	205.00	8219.00	0.75	1.52	2.15	272.00	8219.00	40.09	25.00	54.00	7.63	58.19	4.31	0.00	40.09	0.00	0.00	0.00	0.62	205.00	1.81	0.03	0.01	7.41	0.21	35.28	-863.71	54874.54	
311.00	1022.00	239.00	0.00	205.00	6669.00	0.84	1.82	2.16	285.00	6669.00	32.53	25.00	43.00	4.59	21.11	3.04	0.00	32.53	0.00	0.00	0.00	0.64	205.00	1.81	0.00	0.01	7.11	0.25	15.09	98.66	7144.72	
312.00	601.00	640.00	0.00	205.00	8078.00	0.75	1.51	2.28	272.00	8078.00	39.40	25.00	61.00	10.12	102.48	5.41	0.00	39.40	0.00	0.00	0.00	0.59	205.00	1.81	0.00	0.00	8.00	0.10	45.04	1557.05	215707.16	
313.00	411.00	125.00	0.00	204.00	6544.00	0.79	1.63	2.51	270.00	6544.00	32.08	25.00	39.00	3.14	9.89	1.67	0.00	32.08	0.00	0.00	0.00	0.63	204.00	1.80	0.07	0.02	6.14	0.37	5.15	-81.70	2189.33	
314.00	656.00	615.00	0.00	204.00	7378.00	0.74	1.49	3.09	260.00	7378.00	36.17	25.00	45.00	5.61	31.42	2.98	0.00	36.17	0.00	0.00	0.00	0.58	204.00	1.80	0.04	0.01	7.13	0.21	14.53	-346.36	16610.58	
315.00	964.00	226.00	0.00	202.00	6396.00	0.78	1.59	0.06	252.00	6396.00	31.66	24.00	44.00	4.62	21.34	2.11	0.00	31.66	0.00	0.00	0.00	0.59	202.00	1.79	0.05	0.01	6.67	0.36	5.02	176.37	10083.12	
316.00	849.00	321.00	0.00	200.00	8838.00	0.78	1.58	1.41	240.00	8838.00	44.19	25.00	71.00	13.28	176.49	4.31	0.00	44.19	0.00	0.00	0.00	0.60	200.00	1.77	0.06	0.01	7.84	0.14	21.86	4066.59	678609.81	
317.00	395.00	250.00	0.00	199.00	5724.00	0.81	1.69	2.07	300.00	5724.00	28.76	25.00	36.00	3.02	9.09	1.63	0.00	28.76	0.00	0.00	0.00	0.63	199.00	1.76	0.04	0.02	6.01	0.38	5.07	111.42	2246.12	
318.00	286.00	529.00	0.00	192.00	8200.00	0.67	1.34	1.72	260.00	8200.00	42.71	25.00	61.00	9.73	94.73	4.86	0.00	42.71	0.00	0.00	0.00	0.59	192.00	1.70	0.05	0.01	7.64	0.23	31.54	-2026.05	176478.45	
319.00	236.00	800.00	0.00	188.00	13205.00	0.74	1.49	0.43	266.00	13205.00	70.24	25.00	131.00	33.66	1132.72	11.73	0.00	70.24	0.00	0.00	0.00	0.59	188.00	1.66	0.06	0.00	8.23	0.08	208.63	57938.73	26434868.00	
320.00	1265.00	630.00	0.00	187.00	8113.00	0.87	2.07	2.95	252.00	8113.00	43.39	25.00	57.00	9.17	84.08	4.18	0.00	43.39	0.00	0.00	0.00	0.62	187.00	1.65	0.07	0.01	7.41	0.26	27.63	-2345.59	138469.80	
321.00	1216.00	391.00	0.00	186.00	11421.00	0.70	1.39	0.47	270.00	11421.00	61.40	25.00	111.00	26.02	677.06	9.93	0.00	61.40	0.00	0.00	0.00	0.58	186.00	1.64	0.05	0.00	8.25	0.06	140.27	23634.52	9768353.00	
322.00	219.00	422.00	0.00	186.00	6477.00	0.50	1.15	2.96	224.00	6477.00	34.82	25.00	47.00	5.75	33.07	3.62	0.00	34.82	0.00	0.00	0.00	0.54	186.00	1.64	0.00	0.01	7.20	0.28	17.29	-282.57	21024.91	
323.00	1029.00	648.00	0.00	186.00	5234.00	0.81	1.70	1.66	198.00	5234.00	28.14	22.00	34.00	2.63	6.92	1.60	0.00	28.14	0.00	0.00	0.00	0.60	186.00	1.64	0.01	0.02	6.01	0.41	4.11	19.74	1141.72	
324.00	1375.00	68.00	0.00	185.00	5536.00	0.80	1.67	2.06	252.00	5536.00	29.92	20.00	39.00	3.97	15.79	2.30	0.00	29.92	0.00	0.00	0.00	0.62	185.00	1.64	0.03	0.01	6.63	0.35	8.15	106.54	5535.87	
325.00	455.00	25.00	0.00	183.00	5893.00	0.63	1.29	1.54	221.00	5893.00	32.20	24.00	58.00	6.84	46.72	3.42	0.00	32.20	0.00	0.00	0.00	0.53	183.00	1.62	0.06	0.01	7.10	0.29	27.16	2743.82	110524.95	
326.00	369.00	94.00	0.00	183.00	8821.00	0.54	1.19	2.57	224.00	8821.00	48.20	22.00	76.00	15.49	239.98	7.04	0.00	48.20	0.00	0.00	0.00	0.60	183.00	1.62	0.07	0.00	8.10	0.07	104.00	-3772.57	993704.94	
327.00	277.00	852.00	0.00	183.00	9485.00	0.90	2.30	3.09	240.00	9485.00	51.83	25.00	96.00	20.43	417.21	7.79	0.00	51.83	0.00	0.00	0.00	0.64	183.00	1.62	0.00	0.00	8.04	0.13	78.54	22713.60	4007220.75	
328.00	107.00	6.00	0.00	182.00	6658.00	0.43	1.11	2.56	210.00	6658.00	36.58	23.00	58.00	6.15	37.80	3.48	0.00	36.58	0.00	0.00	0.00	0.54	182.00	1.61	0.03	0.01	7.00	0.28	18.76	188.72	35326.21	
329.00	23.00	86.00	0.00	181.00	5887.00	0.34	1.06	1.34	196.00	5887.00	32.52	24.00	46.00	4.72	22.31	2.51	0.00	32.52	0.00	0.00	0.00	0.57	181.00	1.60	0.11	0.01	6.67	0.30	9.72	410.96	15035.61	
330.00	48.00	234.00	0.00	178.00	4853.00	0.46	1.13	0.84	210.00	4853.00	27.26	24.00	31.00	1.41	1.98	0.93	0.00	27.26	0.00	0.00	0.00	0.56	178.00	1.57	0.07	0.06	4.44	0.58	1.46	5.35	89.03	
331.00	621.00	125.00	0.00	177.00	10043.00	0.75	1.50	1.50	247.00	10043.00	56.74	25.00	96.00	19.91	396.44	7.05	0.00	56.74	0.00	0.00	0.00	0.56	177.00	1.57	0.08	0.00	7.91	0.24	68.03	978.06	3275812.25	
332.00	77.00	661.00	0.00	176.00	7047.00	0.93	2.66	0.06	216.00	7047.00	40.04	23.00	72.00	14.56	211.95	4.68	0.00	40.04	0.00	0.00	0.00	0.65	176.00	1.56	0.07	0.01	7.69	0.24	29.18	13406.65	1274350.25	
333.00	381.00	646.00	0.00	175.00	13150.00	0.43	1.11	0.87	289.00	13150.00	75.14	25.00	112.00	27.50	756.03	8.95	0.00	75.14	0.00	0.00	0.00	0.56	175.00	1.55	0.11	0.00	7.96	0.09	228.76	-70523.77	12050631.00	
334.00	874.00	687.00	0.00	174.00	7334.00	0.83	1.82	2.42	256.00	7334.00	42.15	22.00	70.00	12.93	167.10	5.05	0.00	42.15	0.00	0.00	0.00	0.65	174.00	1.54	0.07	0.00	7.85	0.18	31.31	3608.82	586966.12	
335.00	1337.00	418.00	0.00	173.00	5744.00	0.68	1.36	1.88	208.00	5744.00	33.20	25.00	45.00	5.84	34.16	3.34	0.00	33.20	0.00	0.00	0.00	0.54	173.00	1.53	0.00	0.01	7.12	0.25	16.48	299.22	22255.14	
336.00	5.00	299.00	0.00	170.00	5594.00	0.75	1.51	1.02	224.00	5594.00	32.91	23.00	46.00	5.56	30.93	1.98	0.00	32.91	0.00	0.00	0.00	0.61	170.00	1.50	0.09	0.01	6.92	0.29	8.03	70.10	20865.56	
337.00	135.00	110.00	0.00	166.00	5160.00	0.67	1.35	0.96	195.00	5160.00	31.08	25.00	37.00	2.85	8.11	1.80	0.00	31.08	0.00	0.00	0.00	0.56	166.00	1.47	0.07	0.03	5.73	0.51	2.57	-37.02	1516.44	
338.00	788.00	187.00	0.00	166.00	5994.00	0.72	1.45	2.89	216.00	5994.00	36.11	25.00	45.00	5.90	34.75	3.24	0.00	36.11	0.00	0.00	0.00	0.57	166.00	1.47	0.03	0.01	6.82	0.37	18.06	-570.20	21938.88	
339.00	882.00	711.00	0.00	166.00	7827.00	0.80	1.65	2.64	224.00	7827.00	47.15	25.00	75.00	14.49	210.04	5.32	0.00	47.15	0.00	0.00	0.00	0.60	166.00	1.47	0.08	0.01	7.73	0.07	44.09	1572.13	812822.38	
340.00	1235.00	116.00	0.00	162.00	5791.00	0.74	1.49	0.00	221.00	5791.00	35.75	25.00	50.00	6.34	40.19	3.85	0.00	35.75	0.00	0.00	0.00	0.54	162.00	1.43	0.05	0.01	7.38	0.17	20.70	85.26	29219.34	
341.00	137.00	548.00	0.00	160.00	6463.00	0.87	2.00	2.08	238.00	6463.00	40.39	25.00	63.00	12.37	153.08	4.27	0.00	40.39	0.00	0.00	0.00	0.63	160.00	1.41	0.08	0.01	7.45	0.25	34.98	2221.93	450057.72	
342.00	107.00	654.00	0.00	160.00	4309.00	0.58	1.23	1.72	180.00	4309.00	26.93	24.00	29.00	1.09	1.20	0.84	0.00	26.93	0.00	0.00	0.00	0.55	160.00	1.41	0.04	0.10	3.80	0.66	1.03	-2.06	28.86	
343.00	1115.00	4.00	0.00	158.00	9583.00	0.83	1.78	0.17	180.00	9583.00	60.65	25.00	101.00	23.42	548.27	7.84	0.00	60.65	0.00	0.00	0.00	0.59	158.00	1.40	0.03	0.00	7.85	0.13	55.68	-6445.95	5916183.50	
344.00	95.00	656.00	0.00	158.00	4180.00	0.77	1.56	2.12	208.00	4180.00	26.46	23.00	28.00	1.06	1.12	0.78	0.00	26.46	0.00	0.00	0.00	0.59	158.00	1.40	0.05	0.11	3.63	0.65	1.12	-3.02	21.34	
345.00	800.00	88.00	0.00	155.00	8816.00	0.76	1.54	0.57	208.00	8816.00	56.88	25.00	100.00	24.27	588.84	9.06	0.00	56.88	0.00	0.00	0.00	0.57	155.00	1.37	0.07	0.00	7.79	0.13	139.92	10627.33	6616191.00	
346.00	58.00	410.00	0.00	155.00	4388.00	0.64	1.30	0.04	204.00	4388.00	28.31	25.00	33.00	1.90	3.59	1.31	0.00	28.31	0.00	0.00	0.00	0.51	155.00	1.37	0.05	0.04	5.03	0.52	2.25	13.17	252.86	
347.00	299.00	799.00	0.00	154.00	5088.00	0.69	1.39	2.73	180.00	5088.00	33.04	25.00	44.00	5.45	29.66	3.46	0.00	33.04	0.00	0.00	0.00	0.54	154.00	1.36	0.00	0.01	7.04	0.26	13.61	207.04	17190.99	
348.00	1070.00	135.00	0.00	153.00	8615.00	0.68	1.37	1.17	180.00	8615.00	56.31	25.00	90.00	19.21	369.03	7.83	0.00	56.31	0.00	0.00	0.00	0.54	153.00	1.35	0.07	0.01	7.74	0.15	113.32	-10852.13	2384821.75	
349.00	776.00	774.00	0.00	153.00	4766.00	0.66	1.33	2.23	182.00	4766.00	31.15	25.00	40.00	4.10	16.80	2.48	0.00	31.15	0.00	0.00	0.00	0.54	153.00	1.35	0.00	0.01	6.68	0.31	10.21	88.07	5085.82	
350.00	1382.00	362.00	0.00	151.00	7266.00	0.81	1.69	1.43	170.00	7266.00	48.12	25.00	74.00	15.33	235.16	5.35	0.00	48.12	0.00	0.00	0.00	0.57	151.00	1.34	0.02	0.01	7.69	0.16	30.65	704.29	1112046.50	
351.00	1269.00	522.00	0.00	151.00	12700.00	0.92	2.60	0.06	168.00	12700.00	84.11	27.00	127.00	31.17	971.52	9.46	0.00	84.11	0.00	0.00	0.00	0.63	151.00	1.34	0.12	0.00	7.78	0.06	123.70	-89761.16	19660972.00	
352.00	1068.00	171.00	0.00	149.00	4196.00	0.64	1.29	2.30	169.00	4196.00	28.16	25.00	33.00	1.96	3.83	1.44	0.00	28.16	0.00	0.00	0.00	0.55	149.00	1.32	0.00	0.04	5.21	0.44	3.31	22.32	327.98	
353.00	623.00	535.00	0.00	149.00	8986.00	0.71	1.43	2.79	180.00	8986.00	60.31	23.00	110.00	24.53	601.84	8.56	0.00	60.31	0.00	0.00	0.00	0.56	149.00	1.32	0.09	0.00	7.79	0.12	121.08	25040.49	8011158.00	
354.00	485.00	182.00	0.00	148.00	3910.00	0.83	1.77	1.98	187.00	3910.00	26.42	23.00	29.00	1.30	1.70	0.90	0.00	26.42	0.00	0.00	0.00	0.58	148.00	1.31	0.09	0.06	4.39	0.58	1.38	-2.17	71.57	
